time,x_t,phi_shaft,q_b0_m0,q_b0_m1,q_b0_m2,q_b1_m0,q_b1_m1,q_b1_m2,q_b2_m0,q_b2_m1,q_b2_m2
178.45,0.9578823172003894,147.31764836578026,8.48839441968446,0.35173094386530684,0.1833853425331422,9.73507562143782,-0.7154784420838535,0.2848746866838702,11.00310612677688,0.5250108000954249,0.3432137578900755
178.5,0.9601246710572677,147.3662226718382,8.457415290852959,0.2962801454781174,0.17258940943187273,9.761732199434066,-0.7192325766967465,0.2835040910333799,11.01375166717813,0.5768145141620429,0.33562058482366797
178.55,0.9625138151824021,147.41480396673927,8.403899032925363,0.23122325018575887,0.17764794931791306,9.783042647590477,-0.710215505797065,0.27704012885958645,11.029788746318344,0.6292323485569706,0.33142898754806216
178.6,0.9650311613071336,147.46338694002628,8.326196419085166,0.16025091518036969,0.19754724236884397,9.79854159632547,-0.6879237882347912,0.267723363402951,11.05228544468156,0.680518219034271,0.33327182774605935
178.65,0.9676282328858982,147.5119723959149,8.223761725360797,0.08664637146763836,0.2263524563163027,9.810468449556675,-0.6535182799268465,0.26096236290306546,11.080089417554127,0.7278973741722844,0.3392720729307772
178.7,0.9702311375276002,147.56056585707782,8.097688089083391,0.013224061086796354,0.2560938145156515,9.823312809762134,-0.6095502841479553,0.26274998725066195,11.110416331799655,0.768064712383797,0.3447280193265933
178.75,0.9727499494810161,147.60917448548844,7.951753536769578,-0.05736867349199796,0.279655466792499,9.84104964748216,-0.5595771658100762,0.27564199469347245,11.14005935234357,0.7980558933605492,0.34510917934750196
178.8,0.9750935874844717,147.6578027196614,7.794856663336965,-0.12203522656839752,0.29395551450988866,9.865175796479178,-0.5074528149069777,0.2978699003666029,11.166101688104218,0.8161797079121834,0.3386418878705101
178.85,0.9771840634466592,147.70644969224037,7.640957098184266,-0.1771400201172497,0.30227930790402757,9.89502893614952,-0.4565579778009799,0.324954945494903,11.186030008258397,0.8224970182532493,0.32665559029960767
178.9,0.9789577179811975,147.75511162639359,7.502874115853173,-0.2196640664812072,0.30971396536283313,9.92855401928505,-0.40972224816659514,0.35142869831136964,11.197804903289272,0.8184514765393395,0.312135973865774
178.95,0.980360648933323,147.80378489631443,7.388154178666147,-0.24823359394718109,0.31820044518394586,9.963226233000386,-0.36929343299893674,0.3724778925530603,11.2004044652099,0.8063495452412782,0.2985454837327403
179.0,0.9813461213497199,147.85246708410443,7.300151954643982,-0.2632715768790625,0.3263523246493805,9.99697087218425,-0.33695434364362686,0.38455657638508056,11.194242055444763,0.7890576029012892,0.28897874070750607
179.05,0.9818733433498594,147.90115765697584,7.240501705638408,-0.2667642705373084,0.3307921307118982,10.02819331192016,-0.3136579760704944,0.384876802244736,11.180342505776943,0.7695521783607758,0.28457436779577333
179.1,0.981917498002256,147.94985795011064,7.210207091597894,-0.26189785402525545,0.3279416270303281,10.055883464727716,-0.2995516880774008,0.37248471072620515,11.158886880800017,0.7503879665858745,0.2837720717113348
179.15,0.9814890845231858,147.99856915659512,7.209122812251339,-0.25249384656987384,0.31630226881313617,10.080487716621223,-0.2936133649272822,0.35082105775821903,11.129770315429427,0.7337062753106253,0.28479533699769854
179.2,0.9806389241903773,148.04729005742502,7.2358459824315196,-0.24233678037812703,0.2975627595603718,10.104117745304912,-0.2934352576752845,0.32776150606488974,11.095077410786114,0.7216875818850461,0.2890772367129337
179.25,0.9794383125717347,148.09601815583943,7.288503737039772,-0.23492834284238198,0.27620375420410115,10.129595813814353,-0.29572517449361857,0.31169976796221566,11.059154003426068,0.7162995366021516,0.30026089283324053
