time,x_t,phi_shaft,q_b0_m0,q_b0_m1,q_b0_m2
179.3,0.8360213423655,148.36110991552653,7.881808727649611,-0.4785773070706061,0.217918093048048
179.35,0.8234612270502571,148.4102088488599,7.984702735919154,-0.4788945036966467,0.195362909854474
179.4,0.8119577745137548,148.45930665687163,8.081533579178123,-0.4771602714315881,0.1758737016541956
179.45,0.8016233007813748,148.50840687635076,8.172525868212984,-0.47572309440613436,0.1659260966262157
179.5,0.7925623122755798,148.55751474586685,8.258552019973166,-0.4768484234014012,0.1668421966229962
179.55,0.7848667864219859,148.60663616032505,8.34097731981496,-0.4824275396490058,0.1756300314954596
179.6,0.7786149058506942,148.6557762111979,8.422038382452499,-0.4936734795404393,0.1888158361377334
179.65,0.7738714665849123,148.704938260927,8.50444913458502,-0.5109950402296723,0.20503290633559249
179.7,0.770688087217646,148.754123841311,8.59007587039059,-0.5340562008042132,0.2241548763979111
179.75,0.7691014624878311,148.80333296459236,8.679384995481916,-0.5618564478460492,0.2454038363131496
179.8,0.7691315668472328,148.85256439189055,8.771749971346246,-0.592798061608707,0.26614119634840777
179.85,0.7707726511614941,148.90181463773538,8.86634901087841,-0.624595718417176,0.28220994183273174
179.9,0.7739908514290912,148.95107711303052,8.963058148729255,-0.654315216717967,0.29071064957392984
179.95,0.7787438615851182,149.00034416776043,9.061392678474544,-0.6790634113381898,0.2918721052420615
180.0,0.7849951637291037,149.0496096575963,9.159045056496586,-0.696722714545309,0.2879135138600713
180.05,0.7927172093134666,149.09887054979066,9.252596204497713,-0.7062455192738611,0.28186385659608126
180.1,0.8018920296849584,149.1481276999654,9.338907560304314,-0.7076969863344458,0.27748245460496024
180.15,0.8124982635881092,149.19738493597558,9.416336038384193,-0.7019550460769237,0.2781878263032963
180.2,0.8244897507034303,149.24664708431305,9.485480398102487,-0.6902311668513549,0.2853754671890678
180.25,0.8377822144366497,149.29591833043358,9.547913822020204,-0.6738925958938785,0.29784945504782306
180.3,0.8522532169515028,149.34520162645083,9.604800604288178,-0.6544473548379919,0.31237684559807594
180.35,0.8677510729459855,149.39449882744614,9.656720933524381,-0.6334812149859095,0.32507054151329157
180.4,0.8841073594566364,149.44381096315894,9.703804821849884,-0.6125831289527207,0.33314913270170887
180.45,0.9011465685440202,149.49313828291204,9.746037159328415,-0.5931698626402212,0.33610445575107867
180.5,0.9186897824469693,149.54248009262648,9.783515990970729,-0.5762458295130242,0.3353537220725576
180.55,0.9365562712020878,149.5918346094812,9.816461856393582,-0.5622373055199804,0.333170502062933
180.6,0.9545656694859104,149.6411989930631,9.84560554698113,-0.5508959504202587,0.33198967509926663
180.65,0.9725391479314377,149.69056947308925,9.872598953942145,-0.5413156927238715,0.33388126825695563
180.7,0.9903029425938952,149.7399415878785,9.899773940654908,-0.5321112742931038,0.3402725192203297
180.75,1.0076920514876067,149.7893106399,9.929780772574292,-0.521663687911124,0.35170481659178743
180.8,1.0245453674651055,149.83867226977577,9.96470663237225,-0.508439724059718,0.36665057032303944
180.85,1.040704339998729,149.88802315915805,10.005397161959628,-0.4912947114213471,0.3810743298436018
180.9,1.056020974873488,149.93736142346893,10.052457162840987,-0.46949834254119216,0.3900848699050599
180.95,1.0703660031224274,149.9866865088319,10.10718589749731,-0.4426793961329534,0.3899732271501544
181.0,1.0836315564965773,150.03599883969164,10.170935873461676,-0.4109239968884468,0.3794833223036729
181.05,1.0957330112317902,150.08529974523,10.243841202325207,-0.3749489335318963,0.36034690963981497
181.1,1.1066130042120936,150.13459182904225,10.323986070849022,-0.33620679806023346,0.3369156177062508
181.15,1.1162409164213476,150.18387899839968,10.40762262883637,-0.2967007911449301,0.31456413737800726
181.2,1.124605331617884,150.23316593343975,10.4904330069922,-0.2585008611732857,0.2975404452428019
181.25,1.131707972562461,150.28245766376585,10.568807400892462,-0.22331335002279287,0.2876823428030435
181.3,1.1375603340022789,150.33175914726576,10.640450991177635,-0.1922354894395695,0.2844750532959954
181.35,1.1421791552102543,150.38107457229395,10.70382996530056,-0.16569612718472926,0.28572969141639304
181.4,1.145585924326383,150.4304070050743,10.757007959013487,-0.14357055006040295,0.28795229130652783
181.45,1.1478024469356731,150.47975761543654,10.797369381703186,-0.1251734794639055,0.2871942642700766
181.5,1.1488430061294443,150.52912471593743,10.822687970176066,-0.10910458121908628,0.2808255295650045
181.55,1.1487185999595806,150.57850440761823,10.83309002239889,-0.09324678610108228,0.26918637273485757
181.6,1.147445626411629,150.62789168491702,10.833362094288345,-0.07483404508855267,0.2578147122127043
181.65,1.145046401427304,150.67728159680647,10.831985799315618,-0.05096109665294341,0.2560785918475746
181.7,1.141537190083351,150.72667070733553,10.836561918665717,-0.01955363984690872,0.26935670405835466
181.75,1.1369240947934849,150.77605802464137,10.851363022209362,0.020043292475808418,0.29487466435359966
181.8,1.1312163182705564,150.8254452701325,10.877963414148844,0.06704546320858587,0.3247856120744175
181.85,1.1244370437701405,150.8748362226983,10.916776170251431,0.11959442953347434,0.3510958623680633
181.9,1.1166240056727617,150.9242354171865,10.968022010640384,0.17524967280599552,0.3690015944827536
181.95,1.1078244167660485,150.9736472149102,11.03047413261866,0.23118875910351083,0.3761691857027991
182.0,1.0980931619291288,151.02307546395153,11.099696823580022,0.28426310067713023,0.37056935504540867
182.05,1.087501911787604,151.0725231555401,11.169673632607195,0.3315258238386376,0.35248330897742775
182.1,1.0761466440565541,151.12199203917436,11.2354897476393,0.37092047099826625,0.32670897442072644
182.15,1.0641423364115554,151.17148231141303,11.294235287413454,0.4016587602648413,0.30121862185790826
182.2,1.051608127713853,151.22099239367503,11.344771174908065,0.42429586792243057,0.28396040478560275
182.25,1.0386542154329685,151.27051926883908,11.3869672867048,0.44047620829534007,0.2793024128748558
182.3,1.0253787950416842,151.32005917483565,11.421536417584552,0.4525783089751854,0.28666554531333127
182.35,1.0118702235556922,151.36960793555446,11.450516532680329,0.46344321094019586,0.30219125436771727
182.4,0.9982001822353955,151.41916043891607,11.477337260637455,0.47619079971929773,0.3211059360082967
182.45,0.9844158834069658,151.46871030570443,11.506147042981523,0.49392242787445645,0.33904991849960986
182.5,0.9705514307511318,151.5182513077877,11.540719261066972,0.5190969699363572,0.3527206091016132
182.55,0.9566534161692577,151.56778001981186,11.583046608849514,0.5527586905949843,0.3596872834316533
182.6,0.9427926027988659,151.61729696327367,11.632536919222492,0.5941762812346687,0.3582929909027658
182.65,0.9290626871077298,151.66680597100503,11.686783811713259,0.6410804062998091,0.3491560070824913
182.7,0.9155740399123248,151.71631297764435,11.742946531685222,0.6902219430220657,0.3362571915539502
182.75,0.9024436165555132,151.76582493550282,11.798329537479555,0.7379172680616528,0.3254159055035016
182.8,0.8897948404333489,151.81534963164353,11.850058913716484,0.7804027012751502,0.32112726006595005
182.85,0.8777674077066189,151.86489583073384,11.895135065050056,0.8142454528666604,0.3246207553964588
182.9,0.8665089815822818,151.91447181563325,11.931406783697774,0.8370558804352017,0.3344547041778071
182.95,0.8561540395121184,151.96408319879293,11.9579816172141,0.8480085603653305,0.3478181908564435
183.0,0.8468123474993693,152.01373202871696,11.973963233728895,0.8477183449084087,0.36031624560306913
183.05,0.8385669327971622,152.0634168553279,11.977291771839814,0.8378791380176451,0.3660501387861661
183.1,0.8314875593804792,152.1131334794117,11.965483664027044,0.8210149448885296,0.36133781449221103
183.15,0.8256482933852051,152.16287628492097,11.93659472764926,0.8001839250408117,0.3478314073755344
183.2,0.8211281271774388,152.21263934501232,11.889529751133272,0.778694005038702,0.33133305704402666
183.25,0.8179938910900237,152.26241684010674,11.824133673986212,0.759843698244661,0.31840863573882994
183.3,0.8162802072182324,152.31220328259852,11.741268310060532,0.746584366977557,0.31299164910344884
183.35,0.8159824411357552,152.36199400174993,11.644435885244004,0.7414005490046303,0.31534560033449494
183.4,0.8170674164637424,152.41178597243947,11.541329374397717,0.746167229285265,0.3243418516141241
183.45,0.8194905315303628,152.4615790535914,11.441061499889933,0.7613549902918904,0.33832036671219945
183.5,0.8232026488027706,152.51137664191558,11.350141576454265,0.7853249779744638,0.3532434640542955
183.55,0.8281532750766549,152.56118521099094,11.27156820680606,0.8144326619328334,0.36322726983022424
183.6,0.8342961279830652,152.6110131074776,11.205509605753926,0.8436013559103713,0.3641833784138764
183.65,0.8415904305172632,152.66086892554958,11.149886212730253,0.8671477936193808,0.3567906431255725
183.7,0.8499979884607828,152.71076030259718,11.10127259010955,0.8797709241976721,0.3455611304093866
183.75,0.8594785287856084,152.7606930189192,11.055808448166935,0.8774429238298557,0.33569589001692435
183.8,0.8699852680062239,152.8106700392083,11.009595157263169,0.8580165477101493,0.33063377728405396
183.85,0.8814644487983617,152.8606912587648,10.958955220510118,0.8214432276621375,0.33073722357818
183.9,0.8938541777395286,152.91075365351446,10.900826844088572,0.7696979935906626,0.3330984123492305
183.95,0.9070806934862126,152.96085130147387,10.832761957102093,0.7064649246892997,0.33259654545769646
184.0,0.9210604657125121,153.01097563839872,10.753117307374254,0.6366913596974053,0.32486359781794855
184.05,0.9357034736715009,153.06111607555312,10.66175099853281,0.5661032132219642,0.309581196470749
184.1,0.9509094134724281,153.11126118213875,10.560077916898969,0.5005434093448387,0.2907281926426216
184.15,0.9665660168892753,153.16140059785138,10.450386808584065,0.4451290972720758,0.2741924663970912
184.2,0.9825499587338212,153.21152678362097,10.335137490470608,0.4034647229234471,0.26535640106848357
184.25,0.998720590538201,153.2616356578404,10.216632726339295,0.37719821650974245,0.2670486134930903
184.3,1.0149148500812581,153.3117265308065,10.096821559160663,0.36589777763228876,0.27824342719205686
184.35,1.0309590674094815,153.3618023180921,9.976874195752815,0.367033209596965,0.294653027781925
184.4,1.0466909816307892,153.4118698448881,9.857040791713583,0.3761756071639253,0.31067324743307223
